emiten_code,year,date,eps,per,pbv,bvps,ebitda,roa,roe,fcf,fcf_ps,gdp_forecast,political_stability,inflation_forecast,return
ULTJ,2016,Q2,46.65,92.18,4.03,1066.94,0.0,3.56,4.37,133088704148.0,46.08,5.1,21.4,4.0,11.688311688311687
ULTJ,2016,Q1,57.52,66.97,3.78,1020.29,0.0,4.6,5.64,221798632394.0,76.79,5.1,21.4,4.0,-2.4081115335868186
ULTJ,2015,Q4,43.45,90.77,4.1,962.77,0.0,3.55,4.51,141259398405.0,48.91,5.2,17.1,4.0,-0.6297229219143577
ULTJ,2015,Q3,58.62,67.89,4.34,916.91,0.0,5.0,6.39,138410435828.0,47.92,5.2,17.1,4.0,1.5345268542199488
ULTJ,2015,Q2,26.13,150.02,4.57,858.28,0.0,2.35,3.04,-15586013610.0,-5.4,5.2,17.1,4.0,-1.7587939698492463
ULTJ,2015,Q1,51.5,77.13,4.77,832.15,0.0,4.72,6.19,136661998425.0,47.31,5.2,17.1,4.0,6.989247311827956
UNVR,2024,Q3,14.23,155.31,24.54,90.07,907824000000.0,3.28,15.8,288157000000.0,7.55,5.0,17.1,2.5,-25.418060200668897
UNVR,2024,Q2,26.68,113.19,40.34,74.86,1524085000000.0,5.16,35.65,2480579000000.0,65.02,5.0,17.1,2.5,10.74074074074074
UNVR,2024,Q1,37.97,71.11,21.26,126.98,2148313000000.0,7.9,29.91,-590934000000.0,-15.49,5.0,17.1,2.5,-23.512747875354105
UNVR,2023,Q4,16.04,220.07,39.83,88.63,1066475000000.0,3.67,18.1,1708645000000.0,44.79,4.9,17.5,3.0,-5.614973262032086
UNVR,2023,Q3,37.47,99.81,26.52,141.05,2539448000000.0,7.55,26.57,1455021000000.0,38.14,4.9,17.5,3.0,-12.0
UNVR,2023,Q2,35.49,120.03,41.29,103.17,2008030000000.0,6.79,34.4,2181312000000.0,57.18,4.9,17.5,3.0,-2.2988505747126435
UNVR,2023,Q1,36.84,118.08,31.06,140.05,2095313000000.0,7.19,26.3,938082000000.0,24.59,4.9,17.5,3.0,-7.446808510638298
UNVR,2022,Q4,19.75,237.97,44.86,104.78,1307097000000.0,4.11,18.84,1403288000000.0,36.78,5.2,15.5,3.0,-2.691511387163561
UNVR,2022,Q3,30.97,155.96,32.15,150.22,1799220000000.0,5.84,20.62,1454660000000.0,38.13,5.2,15.5,3.0,1.6842105263157894
UNVR,2022,Q2,36.93,129.16,39.85,119.69,2147014000000.0,6.36,30.85,2856056000000.0,74.86,5.2,15.5,3.0,29.78142076502732
UNVR,2022,Q1,52.98,69.08,21.87,167.32,2869462000000.0,9.91,31.67,1708947000000.0,44.8,5.2,15.5,3.0,-11.165048543689322
UNVR,2021,Q4,36.16,113.66,36.28,113.27,2146435000000.0,7.23,31.92,2392948000000.0,62.72,3.7,17.9,3.0,4.8346055979643765
UNVR,2021,Q3,34.94,113.05,28.29,139.61,2054839000000.0,6.6,25.03,2024497000000.0,53.07,3.7,17.9,3.0,-20.606060606060606
UNVR,2021,Q2,35.33,140.11,47.05,105.21,2071533000000.0,6.65,33.58,2259100000000.0,59.22,3.7,17.9,3.0,-24.714828897338403
UNVR,2021,Q1,44.51,147.72,38.23,171.97,2483552000000.0,7.84,25.88,538819000000.0,14.12,3.7,17.9,3.0,-10.54421768707483
UNVR,2020,Q4,45.22,162.54,56.79,129.42,2683051000000.0,8.4,34.94,2470627000000.0,64.76,-2.2,18.4,3.0,-8.978328173374612
UNVR,2020,Q3,47.67,169.92,47.64,170.01,2582604000000.0,8.63,28.04,1469530000000.0,38.52,-2.2,18.4,3.0,1.8927444794952681
UNVR,2020,Q2,46.05,171.55,34.22,230.88,2600295000000.0,8.23,19.95,2990099000000.0,78.38,-2.2,18.4,3.0,9.310344827586208
